null	No.	OK	change	protein name	old
R00	46			DNA repair protein RecO	DNA recombination and repair protein RecO
R00	47			Protein RecA	RecA protein
R00	48			50S ribosomal protein L5	LSU ribosomal protein L5p
R00	49			50S ribosomal protein L31	LSU ribosomal protein L31p
R00	50			Ribonuclease 3	ribonuclease III
R00	51			Probable dual-specificity RNA methyltransferase RlmN	ribosomal RNA large subunit methyltransferase N
R00	52			30S ribosomal protein S3	SSU ribosomal protein S3p
R00	53			30S ribosomal protein S5	SSU ribosomal protein S5p
R00	54			Holliday junction ATP-dependent DNA helicase RuvA	Holliday junction DNA helicase RuvA
R00	55			Adenosylhomocysteinase	adenosylhomocysteinase
R00	56			Phenylalanine--tRNA ligase alpha subunit	phenylalanyl-tRNA synthetase alpha chain
R00	57			Alanine--tRNA ligase	alanyl-tRNA synthetase
R00	58			Serine--tRNA ligase	seryl-tRNA synthetase
R00	59			Isoleucine--tRNA ligase	isoleucyl-tRNA synthetase
R00	60			tRNA(Ile)-lysidine synthase	tRNA(Ile)-lysidine synthetase
R00	61			Tryptophan synthase alpha chain	tryptophan synthase alpha chain
R00	62			Urease subunit alpha	urease alpha subunit
R00	63			UvrABC system protein B	excinuclease ABC subunit B
R00	64			Uracil phosphoribosyltransferase	uracil phosphoribosyltransferase
R00	65			Peptide chain release factor 2	peptide chain release factor 2
R00	66			Cytosine-specific methyltransferase	DNA-cytosine methyltransferase
R00	67			Delta-aminolevulinic acid dehydratase	porphobilinogen synthase
R00	68			Histidine kinase	circadian input kinase A
R00	69			Histidine kinase	phosphate regulon sensor protein PhoR
R00	70			Histidine kinase	two-component sensor histidine kinase
R00	71			Histidine kinase	clock-associated two-component sensor histidine kinase SasA
R00	72			Serine acetyltransferase	serine acetyltransferase
R00	73			Glycogen operon protein GlgX homolog	glycogen debranching enzyme
R00	74			Aconitate hydratase B	aconitate hydratase 2
R00	75			GTPase HflX	GTP-binding protein HflX
R00	76			Potassium-transporting ATPase	potassium-transporting ATPase B chain
U00	77			Soluble lytic murein transglycosylase	soluble lytic murein transglycosylase precursor
U01	78			FenI protein	FenI
U00	79			23S rRNA (Guanine-N-2-)-methyltransferase rlmL EC 2.1.1.-	23S rRNA (guanine-N-2-)-methyltransferase rlmL EC 2.1.1.-)
U02	80			hypothetical protein	hydrolase of unknown specificity RsbQ
U02	81			hypothetical protein	protein of unknown function DUF490
U00	82			Rare lipoprotein A	rare lipoprotein A precursor
R00	83			UPF0284 protein GM3708_3048	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
R00	84			Shikimate dehydrogenase (NADP(+))	shikimate 5-dehydrogenase I alpha
R00	85			Cytochrome c biogenesis protein CcsB	cytochrome c-type biogenesis protein Ccs1/ResB
R00	86			ATP-dependent dethiobiotin synthetase BioD	dethiobiotin synthetase
R00	87			Phosphopantetheine adenylyltransferase	phosphopantetheine adenylyltransferase
R00	88			Chaperone protein DnaJ	chaperone protein DnaJ
R00	89			GTPase Der	GTP-binding protein EngA
R00	90			Dihydropteroate synthase	dihydropteroate synthase
R00	91			Deoxyribose-phosphate aldolase	deoxyribose-phosphate aldolase
R00	92			Dihydrolipoyl dehydrogenase	dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex
R00	93			D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase	fructose-1,6-bisphosphatase
R00	94			Elongation factor Ts	translation elongation factor Ts
R00	95			Glycine dehydrogenase (decarboxylating)	glycine dehydrogenase
R00	96			Formamidopyrimidine-DNA glycosylase	formamidopyrimidine-DNA glycosylase
R00	97			Cell division protein FtsZ	cell division protein FtsZ
R00	98			Ferredoxin-thioredoxin reductase, catalytic chain	ferredoxin
R00	99			Phosphoglucosamine mutase	phosphoglucosamine mutase
R00	100			Bifunctional protein GlmU	n-acetylglucosamine-1-phosphate uridyltransferase
R00	101			Hydroxyacylglutathione hydrolase	hydroxyacylglutathione hydrolase
R00	102			Glutamine synthetase	glutamine synthetase type I
R00	103			Histidine biosynthesis bifunctional protein HisIE	phosphoribosyl-AMP cyclohydrolase
R00	104			Ribosomal silencing factor RsfS	ribosomal silencing factor RsfA
R00	105			Isopentenyl-diphosphate delta-isomerase	isopentenyl-diphosphate delta-isomerase
R00	106			Potassium-transporting ATPase potassium-binding subunit	potassium-transporting ATPase A chain
R00	107			Apolipoprotein N-acyltransferase	apolipoprotein N-acyltransferase
R00	108			UDP-3-O-acylglucosamine N-acyltransferase	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase
R00	109			tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
R00	110			2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
R00	111			tRNA modification GTPase MnmE	GTPase and tRNA-U34 5-formylation enzyme TrmE
R00	112			Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
R00	113			Glutamate racemase	glutamate racemase
R00	114			Endonuclease MutS2	recombination inhibitory protein MutS2
R00	115			Probable molybdenum cofactor guanylyltransferase	molybdopterin-guanine dinucleotide biosynthesis protein MobA
R00	116			Nucleoside diphosphate kinase	nucleoside diphosphate kinase
R00	117			Protein PatA	two-component response regulator
R00	118			Polyribonucleotide nucleotidyltransferase	polyribonucleotide nucleotidyltransferase
R00	119			Phosphoribosylformylglycinamidine synthase subunit PurL	phosphoribosylformylglycinamidine synthase
R00	120			Phosphoribosylformylglycinamidine cyclo-ligase	phosphoribosylformylglycinamidine cyclo-ligase
R00	121			Ribulose bisphosphate carboxylase large chain	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
R00	122			Peptide chain release factor 1	peptide chain release factor 1
R00	123			Ribonuclease Z	ribonuclease Z
R00	124			Ribulose-phosphate 3-epimerase	ribulose-phosphate 3-epimerase
R00	125			Holliday junction ATP-dependent DNA helicase RuvB	Holliday junction DNA helicase RuvB
R00	126			Putative ribosome biogenesis GTPase RsgA	ribosome small subunit-stimulated GTPase EngC
R00	127			Ribosomal RNA small subunit methyltransferase G	rRNA small subunit 7-methylguanosine (m7G) methyltransferase GidB
R00	128			Histidine--tRNA ligase	histidyl-tRNA synthetase
R00	129			SsrA-binding protein	tmRNA-binding protein SmpB
R00	130			Cysteine--tRNA ligase	cysteinyl-tRNA synthetase
R00	131			Transaldolase	transaldolase
R00	132			Threonine--tRNA ligase	threonyl-tRNA synthetase
R00	133			Lysine--tRNA ligase	lysyl-tRNA synthetase
R00	134			Proline--tRNA ligase	prolyl-tRNA synthetase
R00	135			Valine--tRNA ligase	valyl-tRNA synthetase
R00	136			Methionine--tRNA ligase	methionyl-tRNA synthetase
R00	137			tRNA N6-adenosine threonylcarbamoyltransferase	TsaD/Kae1/Qri7 protein
R00	138			N-(5'-phosphoribosyl)anthranilate isomerase	phosphoribosylanthranilate isomerase
R00	139			Tryptophan synthase beta chain	tryptophan synthase beta chain
R00	140			Thiamine-monophosphate kinase	thiamine-monophosphate kinase
R00	141			tRNA (guanine-N(1)-)-methyltransferase	tRNA (Guanine37-N1)-methyltransferase
R00	142			Urease accessory protein UreF	urease accessory protein UreF
R00	143			Urease accessory protein UreE	urease accessory protein UreE
R00	144			DNA-directed RNA polymerase	DNA-directed RNA polymerase gamma subunit
R00	145			Superoxide dismutase	superoxide dismutase
R00	146			Protein-export membrane protein SecF	protein-export membrane protein SecF
R00	147			GDP-mannose 4,6-dehydratase	GDP-D-mannose dehydratase
R00	148			Histidine kinase	sensory transduction histidine kinase
R00	149			Histidine kinase	sensor protein PhoQ
R00	150			Histidine kinase	chromatic acclimation sensor CcaS
R00	151			Histidine kinase	phytochrome-like protein
R00	152			Histidine kinase	two-component hybrid sensor and regulator
R00	153			mRNA interferase	death on curing protein
R00	154			Rubredoxin	rubredoxin
R00	155			DNA-directed DNA polymerase	dNA polymerase III alpha subunit
R00	156			Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	carbamoyl-phosphate synthase large chain
R00	157			Chaperone protein HtpG	chaperone protein HtpG
R00	158			1,4-dihydroxy-2-naphthoyl-CoA synthase	naphthoate synthase
R00	159			Transketolase	transketolase
R00	160			Putative Holliday junction resolvase	hypothetical protein
R00	161			tRNA-dihydrouridine synthase	tRNA dihydrouridine synthase A
R00	162			Phosphoenolpyruvate carboxykinase [ATP]	phosphoenolpyruvate carboxykinase [ATP]
R00	163			Ribonucleoside-diphosphate reductase	ribonucleotide reductase of class Ia
R00	164			Exoribonuclease II	3'-to-5' exoribonuclease RNase R
R00	165			Urease	urease beta subunit
U01	166			DnaK protein	DnaK
U01	167			HetR protein	HetR
U02	168			hypothetical protein	cyanobacterial hypothetical protein
U02	169			hypothetical protein	protein of unknown function DUF541
U01	170			KaiB protein	KaiB
U00	171			Sulfatase	sulfatase precursor
U00	172			Anacyclamide	anacyclamide precursor
R00	173			UPF0176 protein GM3708_2795	rhodanese domain protein UPF0176
R00	174			Nucleoid-associated protein GM3708_840	hypothetical protein co-occurring with RecR
R00	175			ATP synthase subunit beta	ATP synthase beta chain
R00	176			ATP synthase subunit b	ATP synthase F0 sector subunit b
R00	177			Cobalt transport protein CbiN	additional substrate-specific component CbiN of cobalt ECF transporter
R00	178			Cytochrome b6	cytochrome b6-f complex subunit
R00	179			Aspartate-semialdehyde dehydrogenase	aspartate-semialdehyde dehydrogenase
R00	180			Peptide deformylase	peptide deformylase
R00	181			Elongation factor Tu	translation elongation factor Tu
R00	182			ATP-dependent zinc metalloprotease FtsH	cell division protein FtsH
R00	183			Methionyl-tRNA formyltransferase	methionyl-tRNA formyltransferase
R00	184			Ferrochelatase	ferrochelatase
R00	185			Histidinol-phosphate aminotransferase	histidinol-phosphate aminotransferase
R00	186			Prolipoprotein diacylglyceryl transferase	prolipoprotein diacylglyceryl transferase
R00	187			tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase	tRNA-i(6)A37 methylthiotransferase
R00	188			Phospho-N-acetylmuramoyl-pentapeptide-transferase	phospho-N-acetylmuramoyl-pentapeptide-transferase
R00	189			Pyrroline-5-carboxylate reductase	pyrroline-5-carboxylate reductase
R00	190			Glycerol-3-phosphate acyltransferase	acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY
R00	191			Photosystem I reaction center subunit PsaK	alternative photosystem I reaction center subunit X
R00	192			Amidophosphoribosyltransferase	amidophosphoribosyltransferase
R00	193			Peptide chain release factor 3	peptide chain release factor 3
R00	194			Recombination protein RecR	recombination protein RecR
R00	195			7-carboxy-7-deazaguanine synthase	queuosine biosynthesis QueE Radical SAM
R00	196			Ribosome maturation factor RimP	clustered with transcription termination protein NusA
R00	197			Probable 30S ribosomal protein PSRP-3	probable 30S ribosomal protein PSRP-3
R00	198			Protein translocase subunit SecD	protein-export membrane protein SecD
R00	199			Ribosomal RNA small subunit methyltransferase E	ribosomal RNA small subunit methyltransferase E
R00	200			Ribosomal RNA small subunit methyltransferase H	rRNA small subunit methyltransferase H
R00	201			Glycine--tRNA ligase beta subunit	glycyl-tRNA synthetase beta chain
R00	202			Glycine--tRNA ligase alpha subunit	glycyl-tRNA synthetase alpha chain
R00	203			Sec-independent protein translocase protein TatA	twin-arginine translocation protein TatA
R00	204			Phosphomethylpyrimidine synthase	hydroxymethylpyrimidine phosphate synthase ThiC
R00	205			Indole-3-glycerol phosphate synthase	indole-3-glycerol phosphate synthase
R00	206			Undecaprenyl-diphosphatase	undecaprenyl-diphosphatase
R00	207			Putative pre-16S rRNA nuclease	putative Holliday junction resolvase YggF
R00	208			Zeta-carotene desaturase	pro-zeta-carotene desaturase
R00	209			Pyruvate kinase	pyruvate kinase
R00	210			Methionine aminopeptidase	methionine aminopeptidase
R00	211			Phosphate-binding protein	phosphate ABC transporter
R00	212			Lysozyme	muramidase
R00	213			Anti-sigma factor antagonist	anti-sigma F factor antagonist (spoIIAA-2)
R00	214			Zinc metalloprotease	membrane-associated zinc metalloprotease
R00	215			Histidine kinase	ethylene receptor
R00	216			Histidine kinase	two-component sensor kinase SA14-24
R00	217			Ammonium transporter	ammonium transporter
R00	218			tRNA-dihydrouridine synthase	tRNA dihydrouridine synthase B
R00	219			Isocitrate dehydrogenase [NADP]	isocitrate dehydrogenase [NADP]
R00	220			D,D-heptose 1,7-bisphosphate phosphatase	D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase
U00	221			Putative uncharacterized protein	hypothetical protein
U01	222			CyrA protein	CyrA
U01	223			McyA protein	McyA
U00	224			Phycocyanin operon, partial sequence	phycocyanin alpha subunit
U00	225			Phycocyanin operon, partial sequence	phycocyanin beta subunit
U01	226			LabA protein	LabA
U01	227			ApnC protein	ApnC
U01	228			McyD protein	McyD
R00	229			1,4-alpha-glucan branching enzyme GlgB	starch branching enzyme 1
R00	230			1,4-alpha-glucan branching enzyme GlgB	starch branching enzyme 2
R00	231			Glycogen synthase	starch synthase 1
R00	232			Glycogen synthase	granule bound starch synthase
R00	233			Glycogen synthase	starch synthase 2
R00	234			4-alpha-glucanotransferase	MalQ-D enzyme
R00	235			DNA-directed RNA polymerase	RNA polymerase
R00	236			DNA-directed RNA polymerase	DNA-dependent RNA polymerase gamma subunit
R00	237			DNA-directed RNA polymerase	DNA-directed RNA polymerase subunit beta'
R00	238			Nitrogenase protein alpha chain	nitrogenase component NifD
R00	239			Histidine kinase	sensory histidine protein kinase
R00	240			Glycogen operon protein GlgX homolog	GlgX
R00	241			Glycogen operon protein GlgX homolog	GlgX2
R00	242			Alpha-1,4 glucan phosphorylase	phosphorylase
R00	243			Triosephosphate isomerase	triosephosphate isomerase
R00	244			1,4-alpha-glucan branching enzyme	starch branching enzyme 3
U01	245			GvpV protein	GvpV
U01	246			GvpG protein	GvpG
U01	247			GvpC protein	GvpC
U01	248			McyE protein	McyE
U01	249			McyG protein	McyG
R00	250			Gas vesicle structural protein	gas vesicle protein A2
U01	251			GvpW protein	GvpW
U01	252			McnC protein	McnC
U01	253			GvpF protein	GvpF
U01	254			GvpK protein	GvpK
U01	255			McnE protein	McnE
U01	256			GvpX protein	GvpX
U01	257			GidA protein	GidA
U01	258			GvpN protein	GvpN
U01	259			AerB protein	AerB
U01	260			AerA protein	AerA
R00	261			Gas vesicle structural protein	GvpJ
U01	262			SxtM1 protein	SxtM1
U01	263			JamQ protein	JamQ
U01	264			LtxD protein	LtxD
U01	265			LtxB protein	LtxB
U01	266			ProC protein	ProC
U01	267			HctD protein	HctD
U01	268			HctB protein	HctB
U01	269			HctG protein	HctG
U01	270			JamB protein	JamB
U01	271			ProD protein	ProD
U01	272			JamH protein	JamH
U01	273			SxtS protein	SxtS
U01	274			HoxY protein	HoxY
U01	275			SxtC protein	SxtC
U01	276			SxtM2 protein	SxtM2
U01	277			SxtG protein	SxtG
U01	278			HctC protein	HctC
U01	279			SxtT protein	SxtT
U01	280			SxtM3 protein	SxtM3
U01	281			SxtU protein	SxtU
U01	282			JamL protein	JamL
U01	283			SxtW protein	SxtW
U01	284			JamE protein	JamE
U01	285			JamD protein	JamD
U01	286			JamM protein	JamM
U01	287			JamI protein	JamI
U01	288			HctH protein	HctH
U01	289			JamN protein	JamN
U01	290			SxtP protein	SxtP
U01	291			HctA protein	HctA
U01	292			JamP protein	JamP
U01	293			SxtD protein	SxtD
U01	294			JamC protein	JamC
U01	295			HctF protein	HctF
U01	296			HieA protein	HieA
U01	297			JamO protein	JamO
U01	298			JamA protein	JamA
U01	299			ProB protein	ProB
U01	300			LtxA protein	LtxA
U01	301			JamG protein	JamG
U01	302			JamJ protein	JamJ
U01	303			CurN protein	CurN
U01	304			JamK protein	JamK
U01	305			LtxC protein	LtxC
U01	306			HctE protein	HctE
U01	307			HoxH protein	HoxH
U01	308			HoxU protein	HoxU
U01	309			HoxF protein	HoxF
U01	310			HoxE protein	HoxE
U00	311			Putative uncharacterized protein	unknown
U01	312			NtcA protein	NtcA
U01	313			CurM protein	CurM
U01	314			CurE protein	CurE
U01	315			BarH protein	BarH
U01	316			BarB2 protein	BarB2
U01	317			BarG protein	BarG
U01	318			CurL protein	CurL
U01	319			CurH protein	CurH
U01	320			CurA protein	CurA
U01	321			BarF protein	BarF
U01	322			BarB1 protein	BarB1
U01	323			CurF protein	CurF
U01	324			CurB protein	CurB
U01	325			CurK protein	CurK
U01	326			BarC protein	BarC
U01	327			BarJ protein	BarJ
U01	328			CurC protein	CurC
U01	329			CurI protein	CurI
U01	330			BarE protein	BarE
U01	331			CurG protein	CurG
U01	332			CurD protein	CurD
U01	333			BarI protein	BarI
U01	334			BarK protein	BarK
U01	335			BarA protein	BarA
U01	336			BarD protein	BarD
U01	337			CurJ protein	CurJ
U01	338			CpcH protein	CpcH
U00	339			Putative uncharacterized protein uma1	hypothetical protein
U01	340			CpcD protein	CpcD
U01	341			DnaE protein	DnaE precursor
U01	342			SxtE protein	SxtE
U01	343			SxtQ protein	SxtQ
R00	344			Hydroxylamine reductase	unknown
R00	345			DNA-directed RNA polymerase	RNA polymerase C1
R00	346			DNA-directed RNA polymerase	RpoC1
R00	347			Alpha-amylase	cyclomaltodextrin glucanotransferase
R00	348			LexA repressor	LexA
U01	349			HpnP protein	HpnP
U01	350			ProE protein	ProE
U01	351			McyH protein	McyH
U01	352			ProA protein	ProA
U01	353			SxtX protein	SxtX
U01	354			SxtH protein	SxtH
U01	355			ProF protein	ProF
U00	356			Putative peptide	putative precursor peptide
U01	357			SxtN1 protein	SxtN1
U01	358			GvpC3 protein	GvpC3
U01	359			McyB protein	McyB
U01	360			NifD protein	NifD
U01	361			CpcI protein	CpcI
U01	362			McyF protein	McyF
U01	363			McyC protein	McyC
U01	364			McyI protein	McyI
U01	365			McyJ protein	McyJ
U00	366			Microviridin	microviridin precursor
U01	367			SbtA protein	SbtA
U01	368			SbtB protein	SbtB
U00	369			Rod shape-determining protein protein	rod shape-determining protein
U00	370			CpcI protein	CpcI
U00	371			CpcH protein	CpcH
U00	372			CpcD protein	CpcD
U00	373			CpcA protein	phycocyanin alpha chain
U01	374			CcmR2 protein	CcmR2
U00	375			ApcA protein	allophycocyanin alpha chain
U01	376			NhaS3 protein	NhaS3
U00	377			ApcB protein	allophycocyanin beta chain
U00	378			CpcB protein	phycocyanin beta chain
U01	379			IsiB protein	IsiB
U01	380			SxtR protein	SxtR
U01	381			SxtA protein	SxtA
R00	382			60 kDa chaperonin	chaperonin GroEL
R00	383			Cell division protein FtsZ	FtsZ
R00	384			Cell division protein FtsZ	cell division protein
R00	385			Glutamine synthetase	glutamine synthetase
R00	386			Gas vesicle structural protein	GvpA
R00	387			Cell division topological specificity factor	cell division topological specificity factor
R00	388			Photosystem I reaction center subunit PsaK	photosystem I reaction center subunit PsaK
R00	389			Protein RecA	recombination protein A
R00	390			50S ribosomal protein L19	ribosomal large subunit protein 19
R00	391			DNA-directed RNA polymerase	DNA-directed RNA polymerase subunit gamma
R00	392			DNA-directed RNA polymerase	DNA-directed RNA polymerase beta subunit
R00	393			Gas vesicle structural protein	GvpA protein
R00	394			RNA polymerase sigma factor	principal sigms factor
R00	395			4-hydroxy-tetrahydrodipicolinate reductase	dihydrodipicolinate reductase
R00	396			Cytidine deaminase	SxtB
R00	397			Photosystem I iron-sulfur center	photosystem I iron-sulfur center
R00	398			Beta-N-acetylhexosaminidase	putative N-acetlyhexosaminidase
R00	399			60 kDa chaperonin	GroEL
R00	400			Probable hydrogenase nickel incorporation protein HypA	hydrogenase expression/synthesis
U01	401			DnaJ protein	DnaJ
U01	402			FesM protein	FesM
U00	403			Putative uncharacterized protein rbcX	unknown
U00	404			Putative uncharacterized protein sll1898	hypothetical protein
U01	405			XisI protein	XisI
U00	406			Putative uncharacterized protein sll0102	hypothetical protein
U00	407			SphX protein	SphX protein precursor
U00	408			Putative uncharacterized protein sll0606	hypothetical protein
U01	409			NifK protein	NifK
U00	410			Putative uncharacterized protein	Portion of hypothetical protein
R00	411			Ribosomal protein S12 methylthiotransferase RimO	slr0082
R00	412			Phosphoenolpyruvate carboxylase	phosphoenolpyruvate carboxylase
R00	413			Nitrogenase protein alpha chain	NifD
U00	414			Putative uncharacterized protein hypX	hypothetical protein
U00	415			Putative uncharacterized protein hhyp1	hypothetical protein
U01	416			XisA protein	XisA
R00	417			Cytochrome c oxidase subunit 2	cytochrome c oxidase subunit II
R00	418			Sec-independent protein translocase protein TatC	Ycf43
U00	419			Putative uncharacterized protein slr1302	hypothetical protein
U00	420			Putative uncharacterized protein ycf36	unknown
U01	421			ThiG protein	ThiG
U01	422			PhoH protein	PhoH
U01	423			DysB2 protein	DysB2
R00	424			Cytochrome c oxidase subunit 2	cytochrome oxidase subunit
R00	425			2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
R00	426			Glyceraldehyde-3-phosphate dehydrogenase	NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
R00	427			Coproporphyrinogen oxidase	coproporphyrinogen III oxidase
U01	428			HesA protein	HesA
U01	429			NifT protein	NifT
U01	430			NifV protein	NifV
U01	431			MnhC protein	MnhC
U01	432			HesB protein	HesB
U01	433			NifX protein	NifX
U00	434			Endo-beta-1,4 glucanase	endo-beta-1,4 glucanase precursor
U00	435			Putative uncharacterized protein sll1144	hypothetical protein
U01	436			HlyA protein	HlyA
U01	437			NifS protein	NifS
U00	438			Putative uncharacterized protein sll0355	hypothetical protein
U01	439			NifB protein	NifB
U01	440			NifE protein	NifE
U01	441			FdxN protein	FdxN
U01	442			XisH protein	XisH
U01	443			RpoC1 protein	RpoC1
U01	444			NifN protein	NifN
U01	445			NifZ protein	NifZ
U01	446			DysB1 protein	DysB1
R00	447			Nitrogenase iron protein	dinitrogenase reductase
R00	448			Nitrogenase-stabilizing/protective protein NifW	NifW
R00	449			Nitrogen fixation protein NifU	NifU
R00	450			DNA-directed RNA polymerase	DNA-dependent RNA polymerase subunit
R00	451			Nitrogenase protein alpha chain	alpha-subunit of dinitrogenase
R00	452			Nitrogenase protein alpha chain	vnfDG
R00	453			Serine acetyltransferase	NifT
R00	454			RNA polymerase sigma factor	principal sigma factor
R00	455			Polyphosphate kinase	polyphosphate kinase
U00	456			Patellamide protein	patellamide precursor protein
U01	457			PrnA protein	PrnA
U01	458			PatB protein	PatB
U01	459			PatF protein	PatF
U00	460			Phosphate-binding periplasmic protein	phosphate-binding periplasmic protein precursor
R00	461			DNA-directed RNA polymerase	DNA-dependent RNA polymerase subunit gamma
R00	462			Superoxide dismutase	iron superoxide dismutase
R00	463			Glyceraldehyde-3-phosphate dehydrogenase	glyceraldehyde-3-phosphate dehydrogenase
U01	464			OciB protein	OciB
U01	465			PhaC protein	PhaC
U01	466			PatC protein	PatC
R00	467			2-phosphosulfolactate phosphatase	putative 2-phosphosulfolactate phosphatase
U00	468			Soluble lytic murein transglycosylase	Soluble lytic murein transglycosylase precursor
U00	469			Geranylgeranyl hydrogenase BchP Geranylgeranyl diphosphate reductase	Geranylgeranyl hydrogenase BchP; Geranylgeranyl diphosphate reductase
U02	470			hypothetical protein	Protein of unknown function DUF820
U02	471			hypothetical protein	Protein of unknown function DUF512
U02	472			hypothetical protein	short-chain dehydrogenase of unknown substrate specificity
U02	473			hypothetical protein	Protein of unknown function (DUF3153)
U02	474			hypothetical protein	Protein of unknown function (DUF2808)
U02	475			hypothetical protein	Protein of unknown function (DUF3529)
U02	476			hypothetical protein	Protein of unknown function (DUF2752)
U02	477			hypothetical protein	Protein of unknown function, DUF393
U02	478			hypothetical protein	dehydrogenase of unknown specificity, short-chain alcohol dehydrogenase like protein
R00	479			UPF0182 protein D082_10560	hypothetical protein
R00	480			Magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase	Mg protoporphyrin IX monomethyl ester oxidative cyclase (aerobic)
R00	481			Arginine biosynthesis bifunctional protein ArgJ	Glutamate N-acetyltransferase / N-acetylglutamate synthase
R00	482			ATP synthase epsilon chain	ATP synthase, F1 epsilon subunit
R00	483			Cobalt-precorrin-5B C(1)-methyltransferase	cobalamin biosynthesis protein CbiD
R00	484			FO synthase subunit 2	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit 2
R00	485			Chromophore lyase CpcS/CpeS	Phycoerythrin-like linker protein CpeS
R00	486			Putative fluoride ion transporter CrcB	crcB protein
R00	487			Deoxyguanosinetriphosphate triphosphohydrolase-like protein	dNTP triphosphohydrolase, broad substrate specificity, subgroup 3
R00	488			3-oxoacyl-[acyl-carrier-protein] synthase 3	3-oxoacyl-[acyl-carrier-protein] synthase, KASIII
