biosample_accession	*sample_name	*sample_title	description	*organism	*taxonomy_id	bioproject_id	strain	breed	cultivar	isolate	label	biomaterial_provider	*collection_date	*env_biome	*env_feature	*env_material	*geo_loc_name	*lat_lon	*project_name	ref_biomaterial	*host	rel_to_oxygen	samp_collect_device	samp_mat_process	sample_size	source_material_id	depth	elev	altitude	age	air_temp_regm	antibiotic_regm	body_product	chem_administration	chem_mutagen	climate_environment	dry_mass	fertilizer_regm	fungicide_regm	gaseous_environment	genotype	gravity	growth_hormone_regm	growth_med	height_or_length	herbicide_regm	host_common_name	host_disease_stat	host_taxid	humidity_regm	infra_specific_name	infra_specific_rank	life_stage	mechanical_damage	mineral_nutr_regm	misc_param	non_mineral_nutr_regm	organism_count	oxy_stat_samp	perturbation	pesticide_regm	ph_regm	phenotype	plant_body_site	plant_product	radiation_regm	rainfall_regm	salt_regm	samp_salinity	samp_store_dur	samp_store_loc	samp_store_temp	season_environment	standing_water_regm	temp	tiss_cult_growth_med	tot_mass	water_temp_regm	watering_regm	wet_mass
SAMD00019382	130531_A030	130531_A030	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hydnocarpus ilicifolius																																																											
SAMD00019383	130531_A031	130531_A031	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Ancistrocladus tectorius																																																											
SAMD00019384	130531_A032	130531_A032	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Alchornea rugosa																																																											
SAMD00019385	130531_A033	130531_A033	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Strychnos kerrii																																																											
SAMD00019386	130531_A034	130531_A034	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Memecylon caeruleum																																																											
SAMD00019387	130531_A035	130531_A035	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Aglaia pirifera																																																											
SAMD00019388	130531_A036	130531_A036	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Alchornea rugosa																																																											
SAMD00019389	130531_A037	130531_A037	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Memecylon ovatum																																																											
SAMD00019390	130531_A038	130531_A038	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Dehaasia candolleana																																																											
SAMD00019391	130531_A039	130531_A039	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Lygodium sp.																																																											
SAMD00019392	130531_A040	130531_A040	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Aglaia pirifera																																																											
SAMD00019393	130531_A042	130531_A042	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019394	130531_A043	130531_A043	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Aglaia pirifera																																																											
SAMD00019395	130531_A046	130531_A046	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Alchornea rugosa																																																											
SAMD00019396	130531_A047	130531_A047	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Memecylon ovatum																																																											
SAMD00019397	130531_A048	130531_A048	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Dehaasia candolleana																																																											
SAMD00019398	130531_A049	130531_A049	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Memecylon ovatum																																																											
SAMD00019399	130531_A050	130531_A050	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019400	130531_A051	130531_A051	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Aglaia pirifera																																																											
SAMD00019401	130531_A052	130531_A052	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Memecylon ovatum																																																											
SAMD00019402	130531_A053	130531_A053	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hydnocarpus ilicifolius																																																											
SAMD00019403	130531_A054	130531_A054	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Aglaia pirifera																																																											
SAMD00019404	130531_A055	130531_A055	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Alchornea rugosa																																																											
SAMD00019405	130531_A056	130531_A056	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Memecylon ovatum																																																											
SAMD00019406	130531_A057	130531_A057	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Memecylon ovatum																																																											
SAMD00019407	130531_A058	130531_A058	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Strychnos kerrii																																																											
SAMD00019408	130531_A059	130531_A059	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Memecylon ovatum																																																											
SAMD00019409	130531_A060	130531_A060	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Ancistrocladus tectorius																																																											
SAMD00019410	130531_A061	130531_A061	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019411	130531_A062	130531_A062	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Memecylon caeruleum																																																											
SAMD00019412	130531_A063	130531_A063	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Aglaia pirifera																																																											
SAMD00019413	130531_A064	130531_A064	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Ancistrocladus tectorius																																																											
SAMD00019414	130531_A065	130531_A065	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Memecylon ovatum																																																											
SAMD00019415	130531_A066	130531_A066	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Aglaia pirifera																																																											
SAMD00019416	130531_A067	130531_A067	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Alchornea rugosa																																																											
SAMD00019417	130531_A068	130531_A068	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019418	130531_A069	130531_A069	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Memecylon ovatum																																																											
SAMD00019419	130531_A070	130531_A070	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Memecylon caeruleum																																																											
SAMD00019420	130531_A071	130531_A071	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hydnocarpus ilicifolius																																																											
SAMD00019421	130531_A072	130531_A072	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019422	130531_A073	130531_A073	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Ancistrocladus tectorius																																																											
SAMD00019423	130531_A074	130531_A074	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hydnocarpus ilicifolius																																																											
SAMD00019424	130531_A075	130531_A075	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Memecylon caeruleum																																																											
SAMD00019425	130531_A076	130531_A076	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Aglaia pirifera																																																											
SAMD00019426	130531_A077	130531_A077	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Memecylon ovatum																																																											
SAMD00019427	130531_A078	130531_A078	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019428	130531_A079	130531_A079	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Ancistrocladus tectorius																																																											
SAMD00019429	130531_A080	130531_A080	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hydnocarpus ilicifolius																																																											
SAMD00019430	130531_A082	130531_A082	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019431	130531_A083	130531_A083	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Memecylon ovatum																																																											
SAMD00019432	130531_A084	130531_A084	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hydnocarpus ilicifolius																																																											
SAMD00019433	130531_A085	130531_A085	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019434	130531_A086	130531_A086	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Ancistrocladus tectorius																																																											
SAMD00019435	130531_A087	130531_A087	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hydnocarpus ilicifolius																																																											
SAMD00019436	130531_A088	130531_A088	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Walsura trichostemon																																																											
SAMD00019437	130531_A105	130531_A105	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Dehaasia candolleana																																																											
SAMD00019438	130531_A106	130531_A106	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019439	130531_A107	130531_A107	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hopea ferrera																																																											
SAMD00019440	130531_A108	130531_A108	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Memecylon ovatum																																																											
SAMD00019441	130531_A109	130531_A109	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hydnocarpus ilicifolius																																																											
SAMD00019442	130531_A110	130531_A110	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Hydnocarpus ilicifolius																																																											
SAMD00019443	130531_A111	130531_A111	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Walsura trichostemon																																																											
SAMD00019444	130531_A112	130531_A112	Species richness and vertical structure of fungi in plant leaves collected from a tropical forest were investigated.	phyllosphere metagenome	662107	PRJDB3082							2012-11-27	tropical forest	tropical evergreen forest	plant leaf	Thailand; Sakaerat	14.5N 101.85E	Phyllosphere fungal metagenome		Dehaasia candolleana																																																											
