biosample_accession	*sample_name	*sample_title	description	*organism	*taxonomy_id	bioproject_id	strain	breed	cultivar	isolate	label	biomaterial_provider	*collection_date	*env_biome	*env_feature	*env_material	*geo_loc_name	*lat_lon	*project_name	rel_to_oxygen	samp_collect_device	samp_mat_process	sample_size	depth	alkalinity	biochem_oxygen_dem	chem_administration	chem_oxygen_dem	efficiency_percent	emulsions	gaseous_substances	indust_eff_percent	inorg_particles	misc_param	nitrate	org_particles	organism_count	oxy_stat_samp	perturbation	ph	phosphate	pre_treatment	primary_treatment	reactor_type	samp_salinity	samp_store_dur	samp_store_loc	samp_store_temp	secondary_treatment	sewage_type	sludge_retent_time	sodium	soluble_inorg_mat	soluble_org_mat	suspend_solids	temp	tertiary_treatment	tot_nitro	tot_phosphate	wastewater_type
SAMD00028902	R22	50-15-42-RNA1	RNA of 50C 15min at day 42 (replicate 1)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028903	R23	50-15-42-RNA2	RNA of 50C 15min at day 42 (replicate 2)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028904	R24	50-15-42-RNA3	RNA of 50C 15min at day 42 (replicate 3)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028905	R25	55-5-42-DNA	DNA of 55C 5min at day 42	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028906	R26	55-5-42-RNA1	RNA of 55C 5min at day 42 (replicate 1)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028907	R27	55-5-42-RNA2	RNA of 55C 5min at day 42 (replicate 2)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028908	R28	55-15-42-DNA	DNA of 55C 15min at day 42	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028909	R29	55-15-42-RNA1	RNA of 55C 15min at day 42 (replicate 1)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028910	R3	C-16-RNA2	RNA of control at day 16 (replicate 2)	mixed culture	1306155	PRJDB3842							2014-04-01	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028911	R30	55-15-42-RNA2	RNA of 55C 15min at day 42 (replicate 2)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028912	R31	60-5-42-DNA	DNA of 60C 5min at day 42	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028913	R32	60-5-42-RNA1	RNA of 60C 5min at day 42 (replicate 1)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028914	R33	60-5-42-RNA2	RNA of 60C 5min at day 42 (replicate 2)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028915	R34	55-5-55-DNA	DNA of 55C 5min at day 55	mixed culture	1306155	PRJDB3842							2014-05-09	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028916	R35	55-5-55-RNA1	RNA of 55C 5min at day 55 (replicate 1)	mixed culture	1306155	PRJDB3842							2014-05-09	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028917	R36	55-5-55-RNA2	RNA of 55C 5min at day 55 (replicate 2)	mixed culture	1306155	PRJDB3842							2014-05-09	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028918	R37	55-15-55-DNA	DNA of 55C 15min at day 55	mixed culture	1306155	PRJDB3842							2014-05-09	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028919	R38	55-15-55-RNA1	RNA of 55C 15min at day 55 (replicate 1)	mixed culture	1306155	PRJDB3842							2014-05-09	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028920	R39	55-15-55-RNA2	RNA of 55C 15min at day 55 (replicate 2)	mixed culture	1306155	PRJDB3842							2014-05-09	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028921	R4	C-16-RNA3	RNA of control at day 16 (replicate 3)	mixed culture	1306155	PRJDB3842							2014-04-01	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028922	R40	60-5-77-DNA	DNA of 60C 5min at day 77	mixed culture	1306155	PRJDB3842							2014-05-31	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028923	R41	60-5-77-RNA1	RNA of 60C 5min at day 77 (replicate 1)	mixed culture	1306155	PRJDB3842							2014-05-31	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028924	R42	60-5-77-RNA2	RNA of 60C 5min at day 77 (replicate 2)	mixed culture	1306155	PRJDB3842							2014-05-31	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028925	R5	C-42-DNA	DNA of control at day 42	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028926	R53	60-15-42-DNA	DNA of 60C 15min at day 42	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028927	R54	60-15-42-RNA1	RNA of 60C 15min at day 42 (replicate 1)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028928	R55	60-15-42-RNA2	RNA of 60C 15min at day 42 (replicate 2)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028929	R56	60-15-42-RNA3	RNA of 60C 15min at day 42 (replicate 3)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028930	R57	70-5-42-DNA	DNA of 70C 5min at day 42	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028931	R58	70-5-42-RNA1	RNA of 70C 5min at day 42 (replicate 1)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028932	R59	70-5-42-RNA2	RNA of 70C 5min at day 42 (replicate 2)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028933	R6	C-42-RNA1	RNA of control at day 42 (replicate 1)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028934	R60	70-5-42-RNA3	RNA of 70C 5min at day 42 (replicate 3)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028935	R61	60-15-88-DNA	DNA of 60C 15min at day 88	mixed culture	1306155	PRJDB3842							2014-06-10	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028936	R62	60-15-88-RNA1	RNA of 60C 15min at day 88 (replicate 1)	mixed culture	1306155	PRJDB3842							2014-06-10	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028937	R63	60-15-88-RNA2	RNA of 60C 15min at day 88 (replicate 2)	mixed culture	1306155	PRJDB3842							2014-06-10	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028938	R64	70-5-88-DNA	DNA of 70C 5min at day 88	mixed culture	1306155	PRJDB3842							2014-06-10	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028939	R65	70-5-88-RNA1	RNA of 70C 5min at day 88 (replicate 1)	mixed culture	1306155	PRJDB3842							2014-06-10	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028940	R66	70-5-88-RNA2	RNA of 70C 5min at day 88 (replicate 2)	mixed culture	1306155	PRJDB3842							2014-06-10	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028941	R7	C-42-RNA2	RNA of control at day 42 (replicate 2)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028942	R8	C-42-RNA3	RNA of control at day 42 (replicate 3)	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028943	R9	45-5-42-DNA	DNA of 45C 5min at day 42	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028944	Ran_A7	70-15-42-DNA	DNA of 70C 15min at day 42	mixed culture	1306155	PRJDB3842							2014-04-26	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
SAMD00028945	Ran_A9	70-15-86-DNA	DNA of 70C 15min at day 86	mixed culture	1306155	PRJDB3842							2014-06-08	NA	wastewater treatment plant	Water	USA: IL, Urbana	40.1097 N 88.2042 W	Microbial response to temperature shocks																																									
